strike,net_gex,call_gex,put_gex,call_oi,put_oi,total_oi,avg_iv,key,futures_level
12.0,56.996427532047335,56.996427532047335,0.0,9,0,9,1.7768754931199553,corn,308.298810160107
13.0,14.304302539784912,22.76937656316845,-8.465074023383538,3,1,4,1.3268004499566555,corn,335.97285210994545
14.0,-90.36529413677127,200.331431346867,-290.69672548363826,19,27,46,0.9441161840784551,corn,363.8048897971311
15.0,1656.8799538953078,4454.709274268175,-2797.829320372867,337,302,639,0.5952651101670265,corn,391.7844259665606
16.0,2092.164607805287,9226.20523166438,-7134.040623859093,531,550,1081,0.5159317778162161,corn,419.9023178709751
17.0,67067.47040949242,77376.58906526692,-10309.118655774493,3046,548,3594,0.4697612359649795,corn,448.1505282508723
18.0,117904.61195296596,160191.17538614402,-42286.56343317809,4262,1079,5341,0.34825410531640055,corn,476.5219341451585
19.0,138962.50641903473,365152.7102637948,-226190.20384476008,5061,3580,8641,0.2162680243811011,corn,505.0101776140832
20.0,1833797.3033098588,1913054.214823685,-79256.91151382602,21584,917,22501,0.21834491681188342,corn,533.6095474506488
21.0,470988.34296663693,570161.293632055,-99172.95066541813,7993,1144,9137,0.281755518553555,corn,562.3148842110828
22.0,661416.5399203771,665142.5618632928,-3726.0219429157473,12208,75,12283,0.30826790991028147,corn,591.1215030700262
23.0,317871.5901648178,319290.2586111606,-1418.6684463427946,8418,41,8459,0.31027891461133955,corn,620.0251304928906
24.0,123207.35204834891,123236.0112334707,-28.659185121795435,4732,1,4733,0.7136480370283127,corn,649.0218517547934
25.0,385886.2988527465,385934.3552544843,-48.05640173778625,20665,2,20667,0.6913031373476981,corn,678.1080670718735
26.0,16042.616224869844,16125.393641129505,-82.77741625966068,955,4,959,0.8183522539989153,corn,707.2804546423504
27.0,40592.04972593287,40592.04972593287,0.0,2246,0,2246,0.4231014721679688,corn,736.5359392840933
28.0,71091.62126759902,71091.62126759902,0.0,5090,0,5090,0.49609878906250005,corn,765.8716656446425
