strike,net_gex,call_gex,put_gex,call_oi,put_oi,total_oi,avg_iv,key,futures_level
220.0,-150.48051124397384,21.5073728922606,-171.98788413623444,1,25,26,1.4637795574843881,gold,2546.1940526833764
225.0,1765.4064507151093,1975.4145633617313,-210.00811264662195,18,29,47,2.3446391272014377,gold,2598.980672134263
230.0,266.6650168891381,331.5537789884868,-64.88876209934867,14,12,26,1.168896913138628,gold,2651.66542554174
235.0,-489.59577040098407,292.4668075390903,-782.0625779400744,36,86,122,1.4817098172944785,gold,2704.250717969138
240.0,-5795.763276797762,1423.0781869853747,-7218.8414637831365,11,1271,1282,1.4645019063957532,gold,2756.7388477634076
245.0,-440.90214832348545,1.876294158369507e-10,-440.9021483236731,3,145,148,0.7263267960866292,gold,2809.132013413921
250.0,-5744.639945606189,20329.035420720662,-26073.67536632685,714,8093,8807,0.9648988052022457,gold,2861.432319839517
255.0,-1901.754226522152,296.4240923949263,-2198.1783189170783,15,639,654,0.9096338287901878,gold,2913.6417841619204
260.0,-3215.7299469653553,7870.307308137138,-11086.037255102492,197,967,1164,0.9541799839313825,gold,2965.7623410167516
265.0,-4242.8617076216415,660.8377078211493,-4903.699415442791,15,878,893,0.9044480715191364,gold,3017.79584744734
270.0,-2022.8079367906835,1440.329367509341,-3463.1373043000244,32,530,562,1.066330740345478,gold,3069.744087421356
275.0,11484.083191524724,14677.265266610666,-3193.1820750859424,292,444,736,0.9938928546077013,gold,3121.6087760058
280.0,-15149.49860635538,20227.874342661762,-35377.37294901714,397,1570,1967,1.3729982901072504,gold,3173.3915632318913
281.0,-3946.309478075994,103.24897825866663,-4049.5584563346606,2,174,176,0.907514633756876,gold,3183.738433352292
282.0,-361.3974276692758,302.85021718441766,-664.2476448536935,2,28,30,2.9179694213306906,gold,3194.0821035709005
283.0,11275.603579876513,11706.118038638013,-430.51445876149955,77,17,94,2.9169928685963153,gold,3204.422586219289
284.0,-861.4554052287691,0.0,-861.4554052287691,0,62,62,0.7578149218750001,gold,3214.7598935381066
285.0,-18889.34878528711,543.9436341254078,-19433.29241941252,10,1615,1625,0.7558073329226177,gold,3225.094037678068
286.0,-556.9600623391158,0.20738588666879781,-557.1674482257846,160,39,199,0.5777715613174438,gold,3235.425030700928
287.0,-2914.207915315089,0.010561644254798705,-2914.2184769593437,6,229,235,0.5680060339736939,gold,3245.7528845804395
288.0,14992.436046421548,17751.830061873836,-2759.394015452288,282,188,470,0.8252866974532604,gold,3256.077611203302
289.0,-14947.714548085114,1.4326216327962518,-14949.14716971791,447,526,973,0.6002322742080688,gold,3266.399222370093
290.0,-153646.37676665088,4303.96512272937,-157950.34188938024,75,10074,10149,1.076624355444908,gold,3276.717729796189
291.0,-1545.9884253244886,0.0,-1545.9884253244886,0,97,97,0.7070341796875,gold,3287.0331451126704
292.0,-974.2091791686682,0.0,-974.2091791686682,0,49,49,0.7187528125,gold,3297.3454798672196
293.0,4571.608957369195,7751.7862234831955,-3180.1772661140008,29,171,200,1.4462979815709593,gold,3307.654745524996
294.0,-6384.852674999426,6457.089255780925,-12841.941930780351,105,411,516,0.7969767717039584,gold,3317.9609534695132
295.0,-23698.980867428727,9466.412075143406,-33165.392942572136,124,1662,1786,0.8464869991093874,gold,3328.2641150034888
