strike,net_gex,call_gex,put_gex,call_oi,put_oi,total_oi,avg_iv,key,futures_level
15.0,972.1014349982529,1223.5153378209666,-251.41390282271365,156,32,188,2.10999155226171,wheat,390.8964349850243
16.0,1601.348088782219,1657.3450768099085,-55.99698802768951,355,6,361,1.4145862692523004,wheat,419.722187414223
17.0,376.4980849370956,773.4147695805893,-396.91668464349374,107,37,144,1.6594838225803374,wheat,448.7332187115182
18.0,-821.4276120073598,1191.6877963254337,-2013.1154083327935,151,155,306,0.6518289666420223,wheat,477.9197054127303
19.0,250.60265248533597,1321.8376694571716,-1071.2350169718356,174,68,242,1.1256069011449814,wheat,507.27286433091354
20.0,27561.8970802763,30511.328405160617,-2949.431324884318,1870,151,2021,1.0382746741199496,wheat,536.784793152433
21.0,33308.752302094224,51088.83343177444,-17780.081129680213,2311,856,3167,0.6076396744747161,wheat,566.4483422521953
22.0,36625.98638993656,98451.44318677958,-61825.45679684302,3627,3208,6835,0.5428743868629138,wheat,596.2570104097026
23.0,237741.82063613978,271737.11794638354,-33995.297310243775,6705,857,7562,0.544873873125712,wheat,626.2048590797979
24.0,195514.88749477055,252570.41378767,-57055.52629289946,4802,1055,5857,0.40931690683285393,wheat,656.2864412495155
25.0,1090244.5901852993,1297248.4049132958,-207003.81472799648,18849,2953,21802,0.32768598242402075,wheat,686.4967418921257
26.0,516172.02823627664,754444.8412009117,-238272.812964635,6807,1426,8233,0.32230112310250597,wheat,716.8311277375685
27.0,880298.4852586252,974062.7068450052,-93764.22158637979,8760,649,9409,0.3283206834594408,wheat,747.2853045979073
28.0,477785.3355511207,511175.6379170367,-33390.302365916024,6449,455,6904,0.3771167237929503,wheat,777.8552808726234
29.0,178463.0686621162,183564.27929117368,-5101.210629057478,3193,81,3274,0.5273723017851512,wheat,808.5373361492581
30.0,1953251.4641118723,1957961.2291025852,-4709.764990713085,40749,100,40849,0.5848228866052627,wheat,839.3279940362041
31.0,189766.72099201242,189805.1183766677,-38.39738465526384,4690,1,4691,0.5235472590309381,wheat,870.2239985346861
32.0,14569.970235647885,14602.297251336928,-32.32701568904256,418,1,419,0.5562229319870473,wheat,901.2222933892042
33.0,57640.99362603102,57640.99362603102,0.0,1812,0,1812,1.0382841056358814,wheat,932.3200039593582
34.0,7773.577380119083,7773.577380119083,0.0,300,0,300,1.1033816873204707,wheat,963.514421237884
35.0,929527.3507122943,929527.3507122943,0.0,38362,0,38362,0.36973921567201606,wheat,994.8029877049804
