strike,net_gex,call_gex,put_gex,call_oi,put_oi,total_oi,avg_iv,key,futures_level
22.0,227.72651765759704,227.72651765759704,0.0,83,0,83,0.4190992729067802,copper,3.881573000498675
23.0,7876.5095784594705,7876.5095784594705,0.0,610,0,610,0.95249229067564,copper,4.040523712415551
24.0,2425.7357774199527,2666.660305685424,-240.92452826547134,225,32,257,0.506840869140625,copper,4.198804311610081
25.0,3814.014053450881,4739.52776927414,-925.513715823259,352,65,417,0.9055217089843751,copper,4.3564453878064135
26.0,-1744.7972260302079,1241.3064638407848,-2986.1036898709926,72,189,261,0.6928707346308232,copper,4.5134749675722725
27.0,-5691.30705016659,761.2178767676135,-6452.524926934203,40,320,360,0.7956530864357948,copper,4.669918819385978
28.0,-30559.64899329259,1794.227799990225,-32353.876793282816,80,2932,3012,1.534491690789064,copper,4.825800712438435
29.0,2712.7250622212123,3025.0016841269967,-312.27662190578434,127,12,139,0.656243051815033,copper,4.981142637589057
30.0,17691.404593962725,26988.353087879448,-9296.948493916723,987,349,1336,0.9059715393018722,copper,5.135964997124855
31.0,17763.43629447745,21573.09093106031,-3809.65463658286,695,111,806,0.584934084328413,copper,5.290286768620809
32.0,-13590.719432768348,7143.953568111605,-20734.673000879953,192,537,729,0.5128851659202576,copper,5.444125647157924
33.0,119255.39077313237,146983.85578330987,-27728.465010177515,2971,558,3529,0.6190187432079315,copper,5.597498169344574
34.0,8229.26687607111,15591.02528565684,-7361.75840958573,263,121,384,0.5658438689565658,copper,5.750419821950342
35.0,82871.7432374484,98667.24551987169,-15795.502282423291,1385,201,1586,0.4999970572431882,copper,5.90290513745801
36.0,3228.1025085826986,166862.1977503937,-163634.095241811,2038,1901,3939,0.40952137410442035,copper,6.05496777843778
37.0,-71126.94748944067,94846.09060724823,-165973.0380966889,922,1076,1998,0.336007215732336,copper,6.2066206123255325
38.0,503064.30431912956,822232.7832622819,-319168.47894315235,2390,907,3297,0.2539020844896634,copper,6.357875777926309
39.0,-136907.52144931006,333515.4216343111,-470422.94308362115,2116,1349,3465,0.259428018450737,copper,6.508744744752349
40.0,758892.6228044335,1015035.7825553039,-256143.1597508704,6914,1362,8276,0.3486384653735161,copper,6.659238366131639
41.0,111574.04955068222,178410.85791934884,-66836.80836866659,1293,677,1970,0.39124193072040875,copper,6.809366926880355
42.0,312329.83406234963,331742.12697097857,-19412.292908628915,3231,175,3406,0.4133082102580865,copper,6.959140186214591
43.0,336880.15373885346,337629.8507003925,-749.6969615390045,5350,9,5359,0.4994293900151253,copper,7.108567416478868
44.0,71346.56847425527,71882.82515603087,-536.2566817756062,1439,7,1446,0.4126627734375,copper,7.257657438186947
45.0,357878.22078797384,365600.97475246375,-7722.753964489888,6690,151,6841,0.5425824339779218,copper,7.406418651801934
46.0,2943.7189276864024,3003.6602345639108,-59.94130687750859,48,1,49,0.6926091076628368,copper,7.554859066624804
47.0,7454.382961060205,7454.382961060205,0.0,140,0,140,0.921898219975233,copper,7.702986327111561
48.0,958.2495062106782,958.2495062106782,0.0,21,0,21,0.9828167234170437,copper,7.850807736897728
49.0,725.9250888751947,725.9250888751947,0.0,16,0,16,0.3262591724991798,copper,7.998330280773519
50.0,431302.8195999704,432252.01529789134,-949.1956979209497,10736,22,10758,0.7904967620038986,copper,8.145560644822716
55.0,131091.05991002888,131091.05991002888,0.0,5064,0,5064,0.511186175967455,copper,8.87754508124658
