strike,net_gex,call_gex,put_gex,call_oi,put_oi,total_oi,avg_iv,key,futures_level
31.5,-99.06425273272504,1.5480136731761136e-06,-99.06425428073871,95,220,315,1.2618543583992123,silver,35.816952821554345
32.0,-1224.5992384474189,0.0004226411842717103,-1224.5996610886032,1213,2774,3987,1.2071670146492122,silver,36.36369557566806
32.5,-220.3093697880879,0.00011490445374722002,-220.30948469254167,175,342,517,1.1759170927742124,silver,36.910113599520365
33.0,-243.8586242673481,0.00030696779369962133,-243.8589312351418,379,179,558,1.1602921708992122,silver,37.456212077807514
33.5,-77.3603397585673,0.000482792928777145,-77.36082255149608,94,244,338,1.1290410576179624,silver,38.00199603515451
34.0,-856.5807912542613,0.004670748663797787,-856.585462002925,574,2347,2921,1.1075554912117123,silver,38.54747034337233
34.5,-1069.3334682351756,0.0006045819662046227,-1069.3340728171418,117,490,607,1.0938837138679625,silver,39.092639728284254
35.0,-5658.985800909963,0.008365325620140068,-5658.994166235583,616,13379,13995,0.9502637905277311,silver,39.63750877615272
35.5,-181.00479899643895,0.1443599941770304,-181.14915899061597,238,304,542,1.0665401591804624,silver,40.18208193973557
36.0,-4123.468630487697,0.06627195199601506,-4123.534902439693,521,2069,2590,1.0450559208992123,silver,40.72636354399771
36.5,-4865.276291779907,2.9174320559985243e-05,-4865.276320954228,39,1536,1575,1.1980939101572832,silver,41.270357791502676
37.0,-1568.6592291757456,0.16597667780004519,-1568.8252058535456,576,1383,1959,1.0001343388679624,silver,41.814068767505844
37.5,-24114.08329757082,0.5769106101065423,-24114.66020818093,1144,8586,9730,1.0352904326179622,silver,42.357500444769805
38.0,-9176.503129264205,1.7526361283193852,-9178.255765392525,367,7485,7852,1.0118530888679622,silver,42.90065668812051
38.5,-9430.62701996685,0.9456880470231658,-9431.572708013873,112,3045,3157,1.0001344169929625,silver,43.443541258761336
39.0,-3540.863209481291,275.7233014819323,-3816.5865109632236,932,1500,2432,1.4738843172845244,silver,43.98615781836095
39.5,-33833.48115908592,12.090969841906416,-33845.57212892782,288,5225,5513,0.9703862637028098,silver,44.52850993292958
40.0,-50507.571563367695,556.1692570080834,-51063.74082037578,10589,24690,35279,0.7792045510905319,silver,45.07060107649716
40.5,-10029.179610384072,29.29547015673983,-10058.475080540811,248,4664,4912,0.8958516766402125,silver,45.612434634605854
41.0,-5674.8497673274605,665.2598600395581,-6340.109627367019,4691,3121,7812,1.3638409575775263,silver,46.154013907628446
41.5,-21709.13537075928,228.44877105371253,-21937.58414181299,6240,10431,16671,0.9631604670366645,silver,46.69534211392341
42.0,-22683.059110116625,899.915906146816,-23582.97501626344,2832,3257,6089,0.903639541696012,silver,47.23642239283645
42.5,-3876.6741248096214,1999.8573840840572,-5876.531508893679,743,4185,4928,0.8763992422184348,silver,47.77725780755774
43.0,-9688.123412407322,4770.879118517152,-14459.002530924474,3556,2887,6443,0.8882735400435328,silver,48.31785134784349
43.5,-2437.831033394318,2263.5277614322795,-4701.358794826598,308,2150,2458,0.8343090172466636,silver,48.85820593260978
