strike,net_gex,call_gex,put_gex,call_oi,put_oi,total_oi,avg_iv,key,futures_level
16.0,0.15745884475568103,0.15745884475568103,0.0,3,0,3,0.37765640699863434,soybeans,684.6946814514778
20.0,158.1377752845289,158.1377752845289,0.0,12,0,12,1.4072295263671877,soybeans,889.6447459022056
21.0,-8456.50381503671,563.9936932280342,-9020.497508264745,30,672,702,0.5317429638671876,soybeans,942.0660095201594
22.0,-1433.8364988413753,0.0,-1433.8364988413753,0,80,80,0.3973705739378929,soybeans,994.9222074610624
23.0,-2265.492279906639,320.69037225002194,-2586.182652156661,11,100,111,0.43800031709492204,soybeans,1048.1969229556244
24.0,-1379.8828571719255,5749.367002321614,-7129.24985949354,158,215,373,0.49043478320312506,soybeans,1101.8750492391844
25.0,25228.31227626962,28610.013641693076,-3381.701365423459,616,79,695,0.34370328092002866,soybeans,1155.9426345091142
26.0,27383.860733639296,46444.88936278859,-19061.028629149296,689,360,1049,0.34973551768132616,soybeans,1210.3867507324671
27.0,-56935.18002146933,15062.951948417613,-71998.13196988693,127,605,732,0.35544032803876063,soybeans,1265.195381853828
28.0,695153.3823887716,738042.5616045746,-42889.17921580291,4138,272,4410,0.21054891706364495,soybeans,1320.3573279185873
29.0,3637.01425011074,8758.16272382234,-5121.148473711601,78,91,169,0.25672699466904003,soybeans,1375.8621223555597
30.0,147167.1672493283,149015.975103502,-1848.8078541736438,1381,21,1402,0.36244374124458856,soybeans,1431.6999602191936
31.0,1197.9605136249668,1197.9605136249668,0.0,20,0,20,0.25188030201196665,soybeans,1487.8616356207501
32.0,746.8402424212577,746.8402424212577,0.0,15,0,15,0.2941965112304687,soybeans,1544.3384869120239
33.0,3053.329868036042,3053.329868036042,0.0,65,0,65,0.304694453125,soybeans,1601.122348447811
34.0,104.74934059693898,104.74934059693898,0.0,4,0,4,0.6528355029296876,soybeans,1658.2055079613542
35.0,7123.6376423853,7123.6376423853,0.0,205,0,205,0.49463395996093756,soybeans,1715.5806687531433
